split_name,model_name,accuracy,precision,recall,f1,roc_auc,n_test,prediction_file
random,logistic_regression,0.8970588235294118,0.9017857142857143,0.9711538461538461,0.9351851851851852,0.9173177083333334,408,random_logistic_regression_predictions.csv
random,random_forest,0.8995098039215687,0.8950437317784257,0.9839743589743589,0.9374045801526718,0.9320913461538464,408,random_random_forest_predictions.csv
scaffold,logistic_regression,0.8655256723716381,0.9046321525885559,0.9431818181818182,0.9235048678720446,0.800313995215311,409,scaffold_logistic_regression_predictions.csv
scaffold,random_forest,0.8655256723716381,0.8648648648648649,1.0,0.927536231884058,0.781673644338118,409,scaffold_random_forest_predictions.csv
